seq_idx,timestamp_us,filename,t_step,gt_x,gt_y,pred_x,pred_y,lateral_error,longitudinal_error,abs_lateral_error,abs_longitudinal_error,l2
69,1782210243120934486,1782210243120534407.png,1,-0.058641087263822556,1.58100426197052,-0.0652373731136322,1.5842655897140503,-0.006596285849809647,0.0032613277435302734,0.006596285849809647,0.0032613277435302734,0.007358481176197529
69,1782210243120934486,1782210243120534407.png,2,-0.22173403203487396,3.1574018001556396,-0.26470375061035156,3.2702066898345947,-0.0429697185754776,0.11280488967895508,0.0429697185754776,0.11280488967895508,0.1207118034362793
69,1782210243120934486,1782210243120534407.png,3,-0.5803463459014893,4.68047571182251,-0.6349585652351379,4.95609188079834,-0.05461221933364868,0.2756161689758301,0.05461221933364868,0.2756161689758301,0.28097468614578247
69,1782210243120934486,1782210243120534407.png,4,-0.9840883612632751,6.232838153839111,-1.2539750337600708,6.635011196136475,-0.26988667249679565,0.4021730422973633,0.26988667249679565,0.4021730422973633,0.48433661460876465
69,1782210243120934486,1782210243120534407.png,5,-1.4296220541000366,7.819815635681152,-2.200836181640625,8.231800079345703,-0.7712141275405884,0.4119844436645508,0.7712141275405884,0.4119844436645508,0.8743582963943481
69,1782210243120934486,1782210243120534407.png,6,-1.9445501565933228,9.340055465698242,-3.3973236083984375,9.663646697998047,-1.4527734518051147,0.3235912322998047,1.4527734518051147,0.3235912322998047,1.4883755445480347
70,1782210243620934486,1782210243653650407.png,1,-0.057808686047792435,1.5833346843719482,-0.07639147341251373,1.5945812463760376,-0.018582787364721298,0.011246562004089355,0.018582787364721298,0.011246562004089355,0.02172107622027397
70,1782210243620934486,1782210243653650407.png,2,-0.3142454922199249,3.126283884048462,-0.294913113117218,3.329946279525757,0.01933237910270691,0.20366239547729492,0.01933237910270691,0.20366239547729492,0.20457789301872253
70,1782210243620934486,1782210243653650407.png,3,-0.6149019002914429,4.701666831970215,-0.6887894868850708,5.078269958496094,-0.07388758659362793,0.3766031265258789,0.07388758659362793,0.3766031265258789,0.38378286361694336
70,1782210243620934486,1782210243653650407.png,4,-0.9539114832878113,6.314085006713867,-1.349508285522461,6.843362331390381,-0.39559680223464966,0.5292773246765137,0.39559680223464966,0.5292773246765137,0.6607808470726013
70,1782210243620934486,1782210243653650407.png,5,-1.3666763305664062,7.86448860168457,-2.3513665199279785,8.528298377990723,-0.9846901893615723,0.6638097763061523,0.9846901893615723,0.6638097763061523,1.1875429153442383
70,1782210243620934486,1782210243653650407.png,6,-1.856398582458496,9.392499923706055,-3.6033456325531006,10.047645568847656,-1.7469470500946045,0.6551456451416016,1.7469470500946045,0.6551456451416016,1.86575448513031
71,1782210244120934486,1782210244120529407.png,1,-0.12228058278560638,1.5590425729751587,-0.09255730360746384,1.55703866481781,0.029723279178142548,-0.002003908157348633,0.029723279178142548,0.002003908157348633,0.02979075349867344
71,1782210244120934486,1782210244120529407.png,2,-0.2868006229400635,3.1542911529541016,-0.33312469720840454,3.2735118865966797,-0.046324074268341064,0.11922073364257812,0.046324074268341064,0.11922073364257812,0.1279042810201645
71,1782210244120934486,1782210244120529407.png,3,-0.4854283630847931,4.789602756500244,-0.7512830495834351,5.028087615966797,-0.26585468649864197,0.23848485946655273,0.26585468649864197,0.23848485946655273,0.35714665055274963
71,1782210244120934486,1782210244120529407.png,4,-0.7629463076591492,6.369439125061035,-1.462042212486267,6.839531421661377,-0.6990959048271179,0.4700922966003418,0.6990959048271179,0.4700922966003418,0.8424499034881592
71,1782210244120934486,1782210244120529407.png,5,-1.1189031600952148,7.9335198402404785,-2.527358293533325,8.568058013916016,-1.4084551334381104,0.6345381736755371,1.4084551334381104,0.6345381736755371,1.544792652130127
71,1782210244120934486,1782210244120529407.png,6,-1.5956932306289673,9.499064445495605,-3.8451900482177734,10.140549659729004,-2.2494969367980957,0.6414852142333984,2.2494969367980957,0.6414852142333984,2.33917498588562
72,1782210244620934486,1782210244653901407.png,1,-0.04095178097486496,1.6031320095062256,-0.10235770791769028,1.553547978401184,-0.06140592694282532,-0.049584031105041504,0.06140592694282532,0.049584031105041504,0.07892568409442902
72,1782210244620934486,1782210244653901407.png,2,-0.11252923309803009,3.248744010925293,-0.3425181806087494,3.2478787899017334,-0.2299889475107193,-0.0008652210235595703,0.2299889475107193,0.0008652210235595703,0.22999057173728943
72,1782210244620934486,1782210244653901407.png,3,-0.26706835627555847,4.8451337814331055,-0.764593780040741,4.973509788513184,-0.4975254237651825,0.12837600708007812,0.4975254237651825,0.12837600708007812,0.5138209462165833
72,1782210244620934486,1782210244653901407.png,4,-0.5009785294532776,6.4318437576293945,-1.4803719520568848,6.749883651733398,-0.9793934226036072,0.3180398941040039,0.9793934226036072,0.3180398941040039,1.029738187789917
72,1782210244620934486,1782210244653901407.png,5,-0.8551501631736755,8.029292106628418,-2.5498597621917725,8.436811447143555,-1.6947095394134521,0.4075193405151367,1.6947095394134521,0.4075193405151367,1.7430182695388794
72,1782210244620934486,1782210244653901407.png,6,-1.1903260946273804,9.284794807434082,-3.882539987564087,9.962098121643066,-2.692214012145996,0.6773033142089844,2.692214012145996,0.6773033142089844,2.77610445022583
