seq_idx,timestamp_us,filename,t_step,gt_x,gt_y,pred_x,pred_y,lateral_error,longitudinal_error,abs_lateral_error,abs_longitudinal_error,l2
218,1782210317620934486,1782210317624591407.png,4,1.853800654411316,7.484325885772705,1.840061902999878,8.214012145996094,-0.013738751411437988,0.7296862602233887,0.013738751411437988,0.7296862602233887,0.7298156023025513
218,1782210317620934486,1782210317624591407.png,5,2.672633409500122,9.407997131347656,2.9358556270599365,10.31425952911377,0.26322221755981445,0.9062623977661133,0.26322221755981445,0.9062623977661133,0.9437147378921509
218,1782210317620934486,1782210317624591407.png,6,3.4484453201293945,11.299370765686035,4.366815567016602,12.294244766235352,0.918370246887207,0.9948740005493164,0.918370246887207,0.9948740005493164,1.3539491891860962
219,1782210318120934486,1782210318091113407.png,1,0.22383512556552887,2.0088069438934326,0.16089408099651337,1.8807554244995117,-0.0629410445690155,-0.1280515193939209,0.0629410445690155,0.1280515193939209,0.14268414676189423
219,1782210318120934486,1782210318091113407.png,2,0.6068272590637207,3.996908664703369,0.4359087646007538,3.8539113998413086,-0.17091849446296692,-0.14299726486206055,0.17091849446296692,0.14299726486206055,0.22284826636314392
219,1782210318120934486,1782210318091113407.png,3,1.1500699520111084,6.015137672424316,0.9442854523658752,5.93070650100708,-0.20578449964523315,-0.08443117141723633,0.20578449964523315,0.08443117141723633,0.2224317491054535
219,1782210318120934486,1782210318091113407.png,4,1.8023008108139038,8.001566886901855,1.6944520473480225,7.995860576629639,-0.10784876346588135,-0.005706310272216797,0.10784876346588135,0.005706310272216797,0.10799961537122726
219,1782210318120934486,1782210318091113407.png,5,2.4144225120544434,9.95215892791748,2.7219269275665283,10.035887718200684,0.30750441551208496,0.08372879028320312,0.30750441551208496,0.08372879028320312,0.3186996579170227
219,1782210318120934486,1782210318091113407.png,6,3.0632081031799316,11.877016067504883,4.077604293823242,11.954005241394043,1.0143961906433105,0.07698917388916016,1.0143961906433105,0.07698917388916016,1.0173135995864868
220,1782210318620934486,1782210318624479407.png,1,0.1838749796152115,2.0156569480895996,0.14677421748638153,1.8547457456588745,-0.037100762128829956,-0.1609112024307251,0.037100762128829956,0.1609112024307251,0.16513292491436005
220,1782210318620934486,1782210318624479407.png,2,0.5242823362350464,4.076972961425781,0.40826180577278137,3.7909605503082275,-0.11602053046226501,-0.2860124111175537,0.11602053046226501,0.2860124111175537,0.3086484372615814
220,1782210318620934486,1782210318624479407.png,3,0.9762113690376282,6.117771625518799,0.9074989557266235,5.821734428405762,-0.06871241331100464,-0.2960371971130371,0.06871241331100464,0.2960371971130371,0.3039069175720215
